ACCE_ABSORB_COST	Custos da combinação: %d
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Receberás um cofre do tesouro adicional se concluíres Jotun Thrym ou o Templo do Zodíaco com sucesso.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Receberás um cofre do tesouro adicional se eliminares o Azrael ou o Beran-Setaou com sucesso.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Progresso no Templo do Enigma (Bónus A): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Progresso no Templo do Enigma (Bónus B): %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Progresso no Templo do Enigma (Bónus C): %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Bónus de Conjunto Sagrado	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Bónus de Conjunto Glorioso	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Bónus de Conjunto Cavalheiresco	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Bónus de Conjunto Real	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Bónus de Conjunto Majestoso	SNA
TOOLTIP_AFFECT_SHACKLE	Algemas
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1fx dano das habilidades
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Eco de Talento
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Feitiço de Inverno	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: obtido(a)!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: não obtido(a)!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Feitiço Floco de Neve	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Podes recolher Bolas de Neve e Ramos de Homem de Neve dos monstros derrotados.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Maldição de Sung Mahi (acumulada %d vezes) A tua VD é reduzida em 10%% por cada unidade acumulada e a cada 10 segundos. Pode ser acumulada até 10 vezes.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Aumenta todas as estatísticas de Sung Ma em 10%.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	A vontade de Sung Mahi está entranhada neste lugar.
TOOLTIP_AFFECT_SUNGMA_HP	Vontade de Sung Ma (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Aumenta a tua Vontade de Sung Ma (VIT) em +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Vontade de Sung Ma (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Aumenta a tua Vontade de Sung Ma (INT) em +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Vontade de Sung Ma (RES): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Aumenta a tua Vontade de Sung Ma (RES) em +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Vontade de Sung Ma (RES)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Vontade de Sung Ma (FRÇ): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Aumenta a tua Vontade de Sung Ma (FRÇ) em +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Vontade de Sung Ma (FRÇ)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Cargas de bónus de 10%% de dano restantes: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Bónus da missão diária do evento de boss do mundo\n Valor de Ataque +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Bónus de classificação no evento de boss do mundo\n queda de itens +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Dano é aumentado com menos Pontos de Karma.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Resistência a Golpes Críticos +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Resistência a Golpes Perfurantes +%d%%	SA
TOOLTIP_ANTI_SELL	Não pode ser vendido numa Loja Privada
TOOLTIP_APPLY_ACCEDRAIN_RATE	Taxa de absorção: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Forte contra Animais: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Forte contra Ninjas: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Ruptura de Defesa contra Campainhas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Ruptura de Defesa contra Flechas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Ruptura de Defesa contra Garras +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Forte contra Monstros do Zodíaco +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Ruptura de Defesa contra Punhais +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Forte contra Monstros do Deserto +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Forte contra Demónios: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Forte contra Dragões +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Ruptura de Defesa contra Leques +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Forte contra Semi-Humanos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Forte contra Insectos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Forte contra Esotéricos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Forte contra Monstros: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Forte contra Monstros da Sombra Lunar +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Forte contra Mistérios +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Forte contra Orcs: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Forte contra Xamãs: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Forte contra Suras: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Ruptura de Defesa contra Espadas +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Ruptura de Defesa contra Duas Mãos +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Forte contra Mortos-Vivos: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Forte contra Guerreiros: +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Forte contra Lycans + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Ataque de sangramento + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Resistência a Ataque de Sangramento: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Probabilidade de bloquear ataques físicos %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	Penetração de Bloqueio +%d%%	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	Penetração de Bloqueio +%d%% do valor total	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	Precisão +%d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	Recuperar MN a cada 5 segundos em Batalha %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Probabilidade de Confusão: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Probabilidade de Golpes Críticos +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% Probabilidade de recuperar MN quando atingido	SA
TOOLTIP_APPLY_DODGE	Probabilidade de evitar Flechas: %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Poder das Trevas +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Poder das Trevas +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Poder da Terra +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Poder da Terra +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Poder dos Raios +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Poder dos Raios +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Poder do Fogo +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Poder do Fogo +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Poder do Gelo +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Poder do Gelo +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Poder do Vento +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Poder do Vento +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% Probabilidade de EXP Bónus	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% Probabilidade de receber Yang a dobrar	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Imune contra Sangramento	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Imune contra Quedas	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Imune contra Veneno	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Defesa contra Abrandamento	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Defesa contra perda de sentidos	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% Probabilidade de receber Itens a dobrar	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% Probabilidade de restaurar VD	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% Probabilidade de restaurar MN	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% Probabilidade de roubar MN	SA
TOOLTIP_APPLY_MAX_HP_PCT	Máx. VD +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Máx. MN +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Resistência a ataques de monstros %d	SA
TOOLTIP_APPLY_NOAFFECT	Sem efeito
TOOLTIP_APPLY_NO_DEATH_PENALTY	A personagem não irá perder pontos de experiência se for reanimada no local onde morreu.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	O Deus Dragão protege-te com as suas asas. Se ressuscitares no local onde morreste, não perdes pontos de experiência.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% Probabilidade de Golpes Perfurantes	SA
TOOLTIP_APPLY_POISON_PCT	Probabilidade de Envenenamento %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Resistência a Envenenamento: %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	O efeito da Poção %d%% aumentou.	SA
TOOLTIP_APPLY_REFLECT_CURSE	Probabilidade de reflectir Maldição: %d%%	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% Probabilidade de reflectir ataques físicos	SA
TOOLTIP_APPLY_REFUSE_EXP	Nenhuma experiência obtida	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Resistência a dano de Ninjas: %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Defesa contra Campainhas %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Defesa contra Garras +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Defesa contra Punhais: %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Defesa contra Leques %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Resistência a Semi-Humanos %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Resistência a Queda +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Resistência a dano de Xamãs: %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Resistência a dano de Suras: %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Defesa contra Espadas: %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Defesa contra Duas Mãos: %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Resistência a dano de Guerreiros: %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Resistência ao Vento: %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Probabilidade de defesa contra ataques de Lycans %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Probabilidade de ler livros com sucesso aumentada 2,5 vezes	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Se a leitura do Livro de Habilidades falhar terás imediatamente uma nova tentativa.	SNA
TOOLTIP_APPLY_SLOW_PCT	Probabilidade de Abrandamento %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% dos danos serão absorvidos pela VD	SA
TOOLTIP_APPLY_STEAL_SP	%d%% dos danos serão absorvidos pelo MN	SA
TOOLTIP_APPLY_STUN_PCT	Probabilidade de perda de sentidos %d%%	SA
TOOLTIP_ARMOR	Armadura
TOOLTIP_ARROW	Flecha
TOOLTIP_ASSASSIN	Ninja
TOOLTIP_ATTBONUS_PER_ANIMAL	Forte contra Animais (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_CZ	Forte contra Monstros do Zodíaco (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Forte contra Monstros do Deserto (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Forte contra Demónios (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Forte contra Semi-Humanos (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Forte contra Insectos (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Forte contra Esotéricos (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Forte contra Monstros (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_ORC	Forte contra Orcs (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_STONE	Forte contra Pedras Metin (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Forte contra Mortos-Vivos (+%d%% do valor total)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% Forte contra Pedras Metin	SA
TOOLTIP_ATT_GRADE	Valor de Ataque: +%d	SA
TOOLTIP_ATT_SPEED	Rapidez de Ataque: +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Rapidez de Ataque reduzida	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Tempo restante: %d
TOOLTIP_AUTO_PICKUP	Tens %d%% de probabilidade de obter automaticamente itens por perto durante 30 segundos	SA
TOOLTIP_AUTO_POTION_HP	Elixir do Sol
TOOLTIP_AUTO_POTION_REST	Restante: %.2f%%
TOOLTIP_AUTO_POTION_SP	Elixir da Lua
TOOLTIP_AUTO_POTION_USING	Activo
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-Caça	SNA
TOOLTIP_BATTLE_POTION	Poção de Batalha de Zona de Combate	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Resistência Infinita	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Rapidez de Movimento aumentada	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Rapidez de Movimento reduzida	SNA
TOOLTIP_BOW_DISTANCE	Alcance: +%dm	SA
TOOLTIP_BUYPRICE	Preço: %s
TOOLTIP_CAST_SPEED	Rapidez de Feitiço: +%d%%	SA
TOOLTIP_CON	Vitalidade +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Imune a Confusão
TOOLTIP_COSTUME_ATTR_BONUS	Bónus de disfarce %d	SA
TOOLTIP_CURSE_OF_DARKNESS_UI_CONTENT	Cada uso aumenta o ataque e a defesa de Aamon\ne permite-lhe usar habilidades com mais frequência.\nApós 5 usos, podes recorrer ao poder dos Fragmentos do Sol\ncom a ajuda de Albira para remover a Maldição da Sombra Lunar.
TOOLTIP_CURSE_OF_DARKNESS_UI_TITLE	Maldição da Sombra Lunar (%dx)
TOOLTIP_CURSE_OF_ELEMENTAL	Maldição Elemental (acumulada %dx). A tua VD está a ser sugada. Pode ser acumulada até 10 vezes.	SA
TOOLTIP_DAMAGE_HP_RECOVERY	Absorve %d%% do dano como VD	SA
TOOLTIP_DAMAGE_SP_RECOVERY	Absorve %d%% do dano como MN	SA
TOOLTIP_DEF_GRADE	Defesa: +%d	SA
TOOLTIP_DEX	Destreza +%d	SA
TOOLTIP_DISMOUNT_MOVE_SPEED_BONUS_PER	Ao desmontares, a tua Rapidez de Movimento é aumentada em %d%% durante 10 segundos.	SA
TOOLTIP_DRAGON_SOUL_DECK1	Céu	SNA
TOOLTIP_DRAGON_SOUL_DECK2	Terra	SNA
TOOLTIP_DS_SET	Efeito de Conjunto APD	SNA
TOOLTIP_DURATION	Duração
TOOLTIP_EAR	Brinco
TOOLTIP_ENCHANT_PER_DARK	Poder das Trevas (+%d%% do valor total)	SA
TOOLTIP_ENCHANT_PER_EARTH	Poder da Terra (+%d%% do valor total)	SA
TOOLTIP_ENCHANT_PER_ELECT	Poder dos Raios (+%d%% do valor total)	SA
TOOLTIP_ENCHANT_PER_FIRE	Poder do Fogo (+%d%% do valor total)	SA
TOOLTIP_ENCHANT_PER_ICE	Poder do Gelo (+%d%% do valor total)	SA
TOOLTIP_ENCHANT_PER_WIND	Poder do Vento (+%d%% do valor total)	SA
TOOLTIP_ENERGY	Energia %d	SA
TOOLTIP_ETC	E assim por diante
TOOLTIP_EXP_BONUS_EVENT	EXP: +%d%%	SA
TOOLTIP_FIFTH_ATTRIBUTE_BONUS	5º bónus +%d%%	SA
TOOLTIP_FIRST_ATTRIBUTE_BONUS	1º bónus +%d%%	SA
TOOLTIP_FISHINGROD_EXP	Pontos %d / %d
TOOLTIP_FISHINGROD_LEVEL	Força: %d
TOOLTIP_FISHINGROD_UPGRADE1	Entrega ao Pescador
TOOLTIP_FISHINGROD_UPGRADE2	para conseguir uma
TOOLTIP_FISHINGROD_UPGRADE3	Cana de Pesca melhorada.
TOOLTIP_FISH_LEN	Comprimento: %.2fcm
TOOLTIP_FLOWER_EVENT_SHOOT_ENVELOPE	Sementes de Flor
TOOLTIP_FOURTH_ATTRIBUTE_BONUS	4º bónus +%d%%	SA
TOOLTIP_GLOVE	Luvas
TOOLTIP_GLOVE_BASE_EFFECT_INCREASE	Os atributos básicos das tuas luvas são aumentados em +%d%%.	SA
TOOLTIP_GOLDEN_LAND_OASIS_SHOP_MERCH_REMAIN_COUNT	Compras restantes: %d
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_1	Fábrica Acessórios
TOOLTIP_GUILD_BUILDING_BUILD_ACCE_2	(sapatos, brincos, pulseiras, colares e talismãs)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_1	Ferreiro
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_1_2	(armaduras, escudos e elmos)
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_1	Ferreiro Especial
TOOLTIP_GUILD_BUILDING_BUILD_ARMOR_2_2	(luvas e cintos)
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_1	Armeiro
TOOLTIP_GUILD_BUILDING_BUILD_WEAPON_2	(armas)
TOOLTIP_GUILD_BUILDING_GLOVE_1	Trabalhador de Couro
TOOLTIP_GUILD_BUILDING_GLOVE_2	(luvas)
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_1	Oficina de Couro
TOOLTIP_GUILD_BUILDING_GLOVE_SHOP_2	(acesso à Inscritora)
TOOLTIP_GUILD_SKILL_ACCEL	Aceleração +%d	SA
TOOLTIP_GUILD_SKILL_BLESS	Bênção do Deus Dragão +%d	SA
TOOLTIP_GUILD_SKILL_BLOOD	Sangue do Deus Dragão +%d	SA
TOOLTIP_GUILD_SKILL_BUNNO	Fúria do Deus Dragão +%d%%	SA
TOOLTIP_GUILD_SKILL_JUMUN	Assistência de Invocação: +%d%%	SA
TOOLTIP_GUILD_SKILL_SEONGHWI	Armadura Sagrada +%d	SA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_BLESS	Tempestade de Balathor\nProteção contra perda de sentidos e lentidão\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_FIRMNESS	Determinação de Balathor\nProteção contra atirar para trás\n	SNA
TOOLTIP_GUILD_SKILL_WHITE_DRAGON_RESOLUTION	Vontade de Balathor\nProteção contra atordoamento, aprisionamento e congelamento\n	SNA
TOOLTIP_HALLOWEEN_EVENT_BUFF	+20% EXP | +5% queda de itens | +10% Forte contra Monstros	SNA
TOOLTIP_HELMET	Capacete
TOOLTIP_HIT_AREA_ELEC_ATTACK	Ataca monstros nas proximidades com relâmpagos que infligem dano igual aos teus ataques normais.	SNA
TOOLTIP_HIT_AUTO_HP_RECOVERY	Recebes o efeito do Elixir do Sol durante o combate	SNA
TOOLTIP_HIT_AUTO_SP_RECOVERY	Recebes o efeito do Elixir da Lua durante o combate	SNA
TOOLTIP_HIT_BUFF_ENCHANT_DARK	Ganha Poder das Trevas por %ds em combate	SA
TOOLTIP_HIT_BUFF_ENCHANT_EARTH	Ganha Poder da Terra por %ds em combate	SA
TOOLTIP_HIT_BUFF_ENCHANT_ELEC	Ganha Poder dos Raios por %ds em combate	SA
TOOLTIP_HIT_BUFF_ENCHANT_FIRE	Ganha Poder do Fogo por %ds em combate	SA
TOOLTIP_HIT_BUFF_ENCHANT_ICE	Ganha Poder do Gelo por %ds em combate	SA
TOOLTIP_HIT_BUFF_ENCHANT_WIND	Ganha Poder do Vento por %ds em combate	SA
TOOLTIP_HIT_BUFF_RESIST_DARK	Ganha Res. a Trevas por %ds em combate	SA
TOOLTIP_HIT_BUFF_RESIST_EARTH	Ganha Res. a Terra por %ds em combate	SA
TOOLTIP_HIT_BUFF_RESIST_ELEC	Ganha Res. a Relâmpagos por %ds em combate	SA
TOOLTIP_HIT_BUFF_RESIST_FIRE	Ganha Res. a Fogo por %ds em combate	SA
TOOLTIP_HIT_BUFF_RESIST_ICE	Ganha Res. a Gelo por %ds em combate	SA
TOOLTIP_HIT_BUFF_RESIST_WIND	Ganha Res. a Vento por %ds em combate	SA
TOOLTIP_HIT_BUFF_SUNGMA_HP	Aumenta a Vontade de Sung Ma (VIT) no combate em 15 durante %d segundos.	SA
TOOLTIP_HIT_BUFF_SUNGMA_IMMUNE	Aumenta a Vontade de Sung Ma (INT) no combate em 15 durante %d segundos.	SA
TOOLTIP_HIT_BUFF_SUNGMA_MOVE	Aumenta a Vontade de Sung Ma (RES) no combate em 15 durante %d segundos.	SA
TOOLTIP_HIT_BUFF_SUNGMA_STR	Aumenta a Vontade de Sung Ma (FRÇ) no combate em 15 durante %d segundos.	SA
TOOLTIP_HIT_PCT	Precisão %d	SA
TOOLTIP_HIT_STONE_ATTBONUS_STONE	Ao atacares uma Pedra Metin, recebes +%d%% Dano (Forte contra Pedras Metin) durante 5 segundos	SA
TOOLTIP_HIT_STONE_DEF_GRADE_BONUS	Ao atacares uma Pedra Metin, recebes +%d Defesa durante 5 segundos	SA
TOOLTIP_HP_REGEN	Regeneração de VD: +%d%%	SA
TOOLTIP_INSIGHT_SKILL_LEVEL	Nível atual: %d
TOOLTIP_INT	Inteligência: +%d	SA
TOOLTIP_ITEM_ATT_GRADE	Valor de Ataque: %d
TOOLTIP_ITEM_ATT_POWER	Valor de Ataque: %d - %d
TOOLTIP_ITEM_ATT_POWER_ONE_ARG	Valor de Ataque: %d
TOOLTIP_ITEM_ATT_POWER_REFINE	Valor de Ataque: %d - %d (+%d)
TOOLTIP_ITEM_ATT_SPEED	Rapidez de Ataque: %s
TOOLTIP_ITEM_DEF_GRADE	Defesa: %d
TOOLTIP_ITEM_FAST	Rápido
TOOLTIP_ITEM_LIMIT_CON	Limite máximo de Vitalidade: %d
TOOLTIP_ITEM_LIMIT_DEX	Limite máximo de Destreza: %d
TOOLTIP_ITEM_LIMIT_INT	Limite máximo de Inteligência: %d
TOOLTIP_ITEM_LIMIT_LEVEL	Nível Mínimo: %d
TOOLTIP_ITEM_LIMIT_NEWWORLD_LEVEL	Nível de Campeão mínimo: %d
TOOLTIP_ITEM_LIMIT_STR	Limite máximo de Força: %d
TOOLTIP_ITEM_MAGIC_ATT_POWER	Valor de Ataque Mágico: %d - %d
TOOLTIP_ITEM_MAGIC_ATT_POWER_ONE_ARG	Valor de Ataque Mágico: %d
TOOLTIP_ITEM_MAGIC_DEF_POWER	Defesa vs Magias: %d
TOOLTIP_ITEM_NORMAL	Normal
TOOLTIP_ITEM_SLOW	Lento
TOOLTIP_ITEM_VERY_FAST	Muito Rápido
TOOLTIP_ITEM_VERY_SLOW	Muito Lento
TOOLTIP_ITEM_WEARABLE_JOB	[ Equipável ]
TOOLTIP_KILL_BOSS_ITEM_BONUS	Quando um boss é derrotado, a tua probabilidade de queda de itens é aumentada em %d%%	SA
TOOLTIP_LOTTERY_STEP_NUMBER	%d
TOOLTIP_LOTTO_NUMBER	Número da Sorte: %d
TOOLTIP_MAGIC_ATTBONUS_PER	Ataque Mágico +%d%%	SA
TOOLTIP_MAGIC_ATT_GRADE	Valor de Ataque Mágico: +%d	SA
TOOLTIP_MAGIC_DEF_GRADE	Defesa vs Magias: +%d	SA
TOOLTIP_MALL_ATTBONUS	Valor de Ataque: +%d	SA
TOOLTIP_MALL_ATTBONUS_STATIC	Valor de Ataque	SNA
TOOLTIP_MALL_AUTOLOOT	Mão que apanha automaticamente o Yang caído.	SNA
TOOLTIP_MALL_DEFBONUS	Defesa: +%d%%	SA
TOOLTIP_MALL_DEFBONUS_STATIC	Defesa	SNA
TOOLTIP_MALL_EXPBONUS	EXP: +%d%%	SA
TOOLTIP_MALL_EXPBONUS_P_STATIC	EXP Bónus iCafe: +%d%%	SA
TOOLTIP_MALL_EXPBONUS_STATIC	50% mais EXP	SNA
TOOLTIP_MALL_FISH_MIND	Dobro da probabilidade de apanhar Peixes Raros.	SNA
TOOLTIP_MALL_GOLDBONUS	Probabilidade de Queda de Yang aumentada em %d%%	SA
TOOLTIP_MALL_GOLDBONUS_STATIC	Probabilidade de Queda de Yang a Duplicar	SNA
TOOLTIP_MALL_ITEMBONUS	Probabilidade de Queda de Itens aumentada em %d%%	SA
TOOLTIP_MALL_ITEMBONUS_P_STATIC	iCafe Probabilidade de Pilhar itens + %.1f%%	SA
TOOLTIP_MALL_ITEMBONUS_STATIC	Probabilidade de Queda de Itens aumentada em 200%.	SNA
TOOLTIP_MALL_MARRIAGE_FAST	Pontos de Amor aumentam mais rapidamente.	SNA
TOOLTIP_MALL_SAFEBOX	O teu Armazém recebe mais 2 espaços de arrumação.	SNA
TOOLTIP_MAX_HP	Máx. VD: +%d	SA
TOOLTIP_MAX_HP_PCT	Máx. VD: +%d%%	SA
TOOLTIP_MAX_SP	Máx. MN: +%d	SA
TOOLTIP_MAX_SP_PCT	Máx. MN: +%d%%	SA
TOOLTIP_MAX_STAMINA	Máx. Resistência: +%d	SA
TOOLTIP_MELEE_MAGIC_ATTBONUS_PER	Ataque Mágico/Corpo-a-Corpo +%d%%	SA
TOOLTIP_MEMORIZED_POSITION	%s(%d, %d)
TOOLTIP_MEMORIZED_POSITION_ERROR	GPS ERROR(%d, %d)
TOOLTIP_MOB_HIT_MOB_AGGRESSIVE	Ao atacares, há %d%% de probabilidade de que todos os monstros à tua volta te ataquem (Capa de Bravura)	SA
TOOLTIP_MORE_THEN_HP90_DAMAGE_REDUCE	Dano recebido reduzido em %d%% se tens +90%% VD	SA
