ACCE_ABSORB_COST	Kombinálás ára: %d
TOOLTIP_AFFECT_AIR_BORNE	Levegõben	SNA
TOOLTIP_AFFECT_ATT_GRADE_DOWN	Sebzés csökkenés	SNA
TOOLTIP_AFFECT_CANNOT_APPLY	Nem használhatod ezt PvP-ben vagy átváltozás közben.
TOOLTIP_AFFECT_CHEONUN	Éterpajzs	SNA
TOOLTIP_AFFECT_CONFUSION	Zavarodott.
TOOLTIP_AFFECT_CRITICAL_GRADE_DOWN	Kritikus találat esélye csökken	SNA
TOOLTIP_AFFECT_CURSE_OF_DARKNESS	Holdárnyék átok (%dx)	SA
TOOLTIP_AFFECT_CZ_UNLIMIT_ENTER	Az õrzõ jele	SNA
TOOLTIP_AFFECT_DEFENSEWAVE_LASER	Nem tudtad megállítani a vízsugarat.	SNA
TOOLTIP_AFFECT_DEF_GRADE_DOWN	Védelem csökkenés	SNA
TOOLTIP_AFFECT_ELECTRIC_SHOCK	Villám
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK	Bónusz sebzés típus: %s\n\nEgy aktív Viharvirág vagy Erõvirág buffal helyben újraéledhetsz.
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_DARK	Sötétség ereje
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_EARTH	Föld ereje
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ELECT	Villám ereje
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_FIRE	Tûz ereje
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_ICE	Jég ereje
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_NONE	Nincs
TOOLTIP_AFFECT_ELEMENT_BUFF_CRACK_WIND	Szél ereje
TOOLTIP_AFFECT_FISHING_GOLD_TUNA	Arany tonhal bónusz	SNA
TOOLTIP_AFFECT_FISHING_MOVE_SPEED_DOWN	Vizes ruha\nMozgási sebesség -50	SNA
TOOLTIP_AFFECT_FLAG_CANNOT_ATTACK	Normál támadások blokkolva
TOOLTIP_AFFECT_FLAG_CANNOT_USE_SKILL	Készségek blokkolva
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION	Erõvirág bónusz
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ANIMAL	Erõvirág bónusz: állatok elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_DARK	Erõvirág bónusz: sötétség elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_EARTH	Erõvirág bónusz: föld elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ELECT	Erõvirág bónusz: villám elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_FIRE	Erõvirág bónusz: tûz elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_ICE	Erõvirág bónusz: jég elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_DESTRUCTION_WIND	Erõvirág bónusz: szél elleni erõ: +%d%%\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FLOWER_OF_GALE	Viharvirág bónusz: mozgási sebesség +%d\n\nHelyben újraéledhetsz.	SA
TOOLTIP_AFFECT_FORCE_REMAIN_COUNT	Hátralevõ töltés: %d
TOOLTIP_AFFECT_FREEZING	Megfagyva	SNA
TOOLTIP_AFFECT_GARRISON_BUFF	Immunitás Sung Mahi aurájára	SNA
TOOLTIP_AFFECT_GARRISON_DEBUFF	Sung Mahi aurája	SNA
TOOLTIP_AFFECT_GREEDY_GATE_BUFF	A kapu energiája	SNA
TOOLTIP_AFFECT_GUILD_SPECIAL_BUILDING_BUFF	Oltár bónusz	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_BREATH_DEBUFF	Balathor komor tekintete alatt a TP regenerálásod 50%-kal csökken.	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_ENHANCE_SCALES	Balathor a Sárkánytojásait mágikus pikkelypáncéllal védi, ezért nem sebezhetõk. Pusztítsd el a pikkelyt a Tûzkocsival!	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_BUFF_POTION	+15% készség sebzés ellenállás\n+15% ütés sebzés ellenállás	SNA
TOOLTIP_AFFECT_GUILD_WHITE_DRAGON_LAIR_RAGE_DEBUFF	Balathor féktelen energiája jeges hideget áraszt. A támadósebességed lecsökkent.	SNA
TOOLTIP_AFFECT_HEAVY_BLEEDING	Erõs vérzés	SNA
TOOLTIP_AFFECT_ICECREAM	Fagylalttölcsér\nMozgási sebesség +10\nMágikus/közelharci támadás +5%\nEXP +10%\n	SNA
TOOLTIP_AFFECT_IMMUNE_MINE_TOWER_SKILL	Bombabiztos jegy	SNA
TOOLTIP_AFFECT_INCREASE_REFINE_PCT	Egyszeri áldás, mely növeli a következõ fejlesztés sikeres esélyét %d%%-kal az aktiválása esetén.	SA
TOOLTIP_AFFECT_INVINCIBILITY_DECCAN	Nezerath pajzsa: Nezerathot megvédik a sebzéstõl a megidézett szolgái.	SNA
TOOLTIP_AFFECT_IRON_DRAGON_BLESS	Hátralevõ 10%% sebzés csökkentés használat: %d
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_BUFF	Lelkek (%d/20)	SA
TOOLTIP_AFFECT_LATE_SUMMER_EVENT_PRIMIUM_BUFF	Ritka lelkek (%d/150)	SA
TOOLTIP_AFFECT_LOOTING_SYSTEM	Zsákmány jegy	SNA
TOOLTIP_AFFECT_LUCKY_EVENT	Szörny-vadászat bónusz	SNA
TOOLTIP_AFFECT_MERCENARY_MAX_ACTIVE_INCREASE	Növeli a max. állóképességet ennyivel: +%d	SA
TOOLTIP_AFFECT_MIND_CONTROL	Sötét befolyás	SNA
TOOLTIP_AFFECT_MI_BUFF	Megszállási bónusz \n%s
TOOLTIP_AFFECT_MOUNT_FALL	Hátasról leesés	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_ATTACK_SPEED	Tomboló vihar	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EFFECT_UP	Erõsíti a lovagló hatást	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_EXP	EXP	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_GYEONGGONG	Pehelykönnyû lépések	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_HIT_PCT	Pontosság	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_INVINCIBILITY	Legyõzhetetlenség	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_ASSASIN	Nindzsák elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SHAMAN	Sámánok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_SURA	Surák elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WARRIOR	Harcosok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_JOB_WOLF	Vérfarkasok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_KNOCKBACK	Nincs hátralökés	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_NIMBLE	Gyors paták	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_ANIMAL	Állatok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_CZ	Zodiákus szörnyek elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DESSERT	Sivatagi szörnyek elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_DEVIL	Ördögök elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_HUMAN	Félemberek elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_INSECT	Rovarok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MILGYO	Ezoterikusok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_MONSTER	Minden szörny elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_UNDEAD	Élõholtak elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_RANDOM_WONGGUI	Orkok elleni erõ
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_HP	Sung Ma akarata (VIT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_IMMUNE	Sung Ma akarata (INT)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_MOVE	Sung Ma akarata (ELL)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_SUNGMA_STR	Sung Ma akarata (ERÕ)	SNA
TOOLTIP_AFFECT_MOUNT_UPGRADE_SKILL_TO_STRONG	Lovaglás	SNA
TOOLTIP_AFFECT_NORMAL_ATTACK_DAMAGE_BUFF	%0.1fx normál támadás sebzés
TOOLTIP_AFFECT_NORMAL_ATTACK_FORCE_TYPE	Erõ visszhangja
TOOLTIP_AFFECT_NO_FALLEN	Esés ellenállás	SNA
TOOLTIP_AFFECT_OTHER_WORLD_DEAD_SOUL	Asmodeus max. TP-je %d%%-kal csökkent.	SA
TOOLTIP_AFFECT_OTHER_WORLD_GOBLIN_PROTECTION	Asmodeus átka nem hat rád a Kárhozat térképen.	SNA
TOOLTIP_AFFECT_OTHER_WORLD_YEOMWANG_CURSE	A szörnyeknek okozott sebzés 30%-kal csökken.	SNA
TOOLTIP_AFFECT_PASWAE	Csökkenti a védelmet és a mozgási sebességet 5 másodpercre.
TOOLTIP_AFFECT_POLYMORPH	Átváltozás	SNA
TOOLTIP_AFFECT_POLYMORPH_DEBUFF	Átváltozás (negatív hatás)	SNA
TOOLTIP_AFFECT_PREMIUM_MEMBERSHIP_BUFF	Metin+ tagság\n\nA Metin+ tagságod összes részletét és beállításait megtalálod a hozzá tartozó oldalon, ha a Hírekre kattintasz.	SNA
TOOLTIP_AFFECT_PREMIUM_PRIVATE_SHOP	Prémium magánbolt	SNA
TOOLTIP_AFFECT_RAMADNA_CANDY	Édesség\n+10 mozgási sebesség\n+5% támadás sebzés\n+10% EXP	SNA
TOOLTIP_AFFECT_RANJU	Forralt bor\n+10 mozgási sebesség\n+5% támadás sebzés\n+10% EXP	SNA
TOOLTIP_AFFECT_RCAST_SPEED	Újratöltés növekedés	SNA
TOOLTIP_AFFECT_RED_DRAGONLAIR_BUFF	Készség károkkal szembeni ellenállás +15% | Normál támadással szembeni ellenállás +15%	SNA
TOOLTIP_AFFECT_REFINE_FREE_MATERIAL	Egyszeri áldás, mely biztosítja, hogy a következõ fejlesztéshez ne legyen szükséges fejlesztõ anyag az aktiválása esetén.	SNA
TOOLTIP_AFFECT_RESEARCHER_ELIXIR	Kutatói elixír	SNA
TOOLTIP_AFFECT_RHP_REGEN	Nincs regeneráció	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_01	Raktár bónusz\n+3% EXP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_02	Raktár bónusz\n+20 védelem	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_03	Raktár bónusz\n+1% TP	SNA
TOOLTIP_AFFECT_SAFEBOX_BUFF_04	Raktár bónusz\n+3% szörnyek elleni erõ	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_A	Egy további kincsesládát kapsz, ha sikeresen teljesíted a Szerpent templomot vagy az Északszél mélységet.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_B	Egy további kincsesládát kapsz, ha sikeresen teljesíted a Jotun Thrymet vagy a Zodiákus templomot.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_C	Egy további kincsesládát kapsz, ha sikeresen legyõzöd Azraelt vagy Beran-Setaout.	SNA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_A	Enigma templom (A bónusz) haladás: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_B	Enigma templom (B bónusz) haladás: %d	SA
TOOLTIP_AFFECT_SECRET_DUNGEON_BUFF_POINT_C	Enigma templom (C bónusz) haladás: %d	SA
TOOLTIP_AFFECT_SET_ITEM_1	Szent szett bónusz	SNA
TOOLTIP_AFFECT_SET_ITEM_2	Dicsõséges szett bónusz	SNA
TOOLTIP_AFFECT_SET_ITEM_3	Lovagias szett bónusz	SNA
TOOLTIP_AFFECT_SET_ITEM_4	Királyi szett bónusz	SNA
TOOLTIP_AFFECT_SET_ITEM_5	Fenséges szett bónusz	SNA
TOOLTIP_AFFECT_SHACKLE	Bénulás
TOOLTIP_AFFECT_SKILL_ATTACK_DAMAGE_BUFF	%0.1fx készség sebzés
TOOLTIP_AFFECT_SKILL_ATTACK_FORCE_TYPE	Tehetség visszhangja
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF	Téli varázslat	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_ACQUIRED	: Megszerezve!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_RANK_BUFF_NOT_ACQUIRED	: Nincs megszerezve!\n
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_1	Hópehely varázslat	SNA
TOOLTIP_AFFECT_SNOWFLAKE_STICK_EVENT_SNOWFLAKE_BUFF_2	Hógolyókat és Hóember karokat a legyõzött szörnyektõl szerezhetsz.
TOOLTIP_AFFECT_SUNGMAHEE_TOWER_CURSE	Sung Mahi átka (halmozódva %dx). A TP-d 10%%-kal csökken minden halmozódással 10 másodpercenként. Legfeljebb 10 alkalommal halmozódhat.	SA
TOOLTIP_AFFECT_SUNGMA_ALL	Megnövel minden Sung Ma státuszpontot 10%-kal.	SNA
TOOLTIP_AFFECT_SUNGMA_DESC	Sung Mahi akaratereje átjárja ezt a helyet.
TOOLTIP_AFFECT_SUNGMA_HP	Sung Ma akarata (VIT): %d
TOOLTIP_AFFECT_SUNGMA_HP_BUFF	Megnöveli a Sung Ma akaratod (VIT) ennyivel: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_IMMUNE	Sung Ma akarata (INT): %d
TOOLTIP_AFFECT_SUNGMA_IMMUNE_BUFF	Megnöveli a Sung Ma akaratod (INT) ennyivel: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE	Sung Ma akarata (ELL): %d
TOOLTIP_AFFECT_SUNGMA_MOVE_BUFF	Megnöveli a Sung Ma akaratod (ELL) ennyivel: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_MOVE_DEBUFF	-20 Sung Ma akarata (ELL)	SNA
TOOLTIP_AFFECT_SUNGMA_STR	Sung Ma akarata (ERÕ): %d
TOOLTIP_AFFECT_SUNGMA_STR_BUFF	Megnöveli a Sung Ma akaratod (ERÕ) ennyivel: +%d.	SA
TOOLTIP_AFFECT_SUNGMA_STR_DEBUFF	-20 Sung Ma akarata (ERÕ)	SNA
TOOLTIP_AFFECT_WHITE_DRAGON_BLESS	Hátralevõ 10%% sebzés bónusz használat: %d
TOOLTIP_AFFECT_WORLD_BOSS_DAILY_REWARD	Megafõszörny rendezvény napi küldetés bónusz\n támadóérték +%d%%	SA
TOOLTIP_AFFECT_WORLD_BOSS_REWARD	Megafõszörny rendezvény helyezés bónusz\n tárgy dobás +%d	SA
TOOLTIP_ALIGNMENT_DAMAGE_BONUS	Nagyobb sebzés kevesebb rangpont esetén.	SNA
TOOLTIP_ANTI_CRITICAL_PCT	Kritikus csapás elleni ellenállás +%d%%	SA
TOOLTIP_ANTI_PENETRATE_PCT	Átütõ csapás elleni ellenállás +%d%%	SA
TOOLTIP_ANTI_SELL	Nem lehet eladni a boltban.
TOOLTIP_APPLY_ACCEDRAIN_RATE	Abszorpció mértéke: %d%%	SA
TOOLTIP_APPLY_ATTBONUS_ANIMAL	Állatok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ASSASSIN	Nindzsák elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BELL	Harang védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_BOW	Nyíl védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CLAW	Karom védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_CZ	Zodiákus szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DAGGER	Tõr védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DESERT	Sivatagi szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DEVIL	Ördögök elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_DRAGON	Sárkányok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_FAN	Legyezõ védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_HUMAN	Félemberek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_INSECT	Rovarok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MILGYO	Ezoterikusok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MONSTER	Szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MOON	Holdárnyék szörnyek elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_MYSTERY_DUNGEON	Titokzatosok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_ORC	Orkok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SHAMAN	Sámánok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SURA	Surák elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_SWORD	Kard védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_TWOHAND	Kétkezes védelem áttörés +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_UNDEAD	Élõholtak elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WARRIOR	Harcosok elleni erõ +%d%%	SA
TOOLTIP_APPLY_ATTBONUS_WOLFMAN	Vérfarkasok elleni erõ + %d%%	SA
TOOLTIP_APPLY_BLEEDING_PCT	Vérzõ támadás + %d%%	SA
TOOLTIP_APPLY_BLEEDING_REDUCE	Vérzõ támadás ellenállás: +%d%%	SA
TOOLTIP_APPLY_BLOCK	Esély a közelharci támadás kivédésére %d%%	SA
TOOLTIP_APPLY_BLOCK_PENETRATE_PCT	Blokkolás áthatolás +%d%%	SA
TOOLTIP_APPLY_BONUS_BLOCK_PENETRATE_PCT	Blokkolás áthatolás, a teljes érték +%d%%-a	SA
TOOLTIP_APPLY_BONUS_HIT_PCT	Pontosság +%d%%	SA
TOOLTIP_APPLY_COMBAT_SP_RECOVER	MP-t a háborúban 5 másodpercenként visszaállít %d	SA
TOOLTIP_APPLY_CONFUSION_TO_MOB	Esély összezavarásra: %0.1f%%	SA
TOOLTIP_APPLY_CRITICAL_PCT	Esély kritikus találatra +%d%%	SA
TOOLTIP_APPLY_DAMAGE_SP_RECOVER	%d%% esély, hogy az MP-t találatnál megtartsd	SA
TOOLTIP_APPLY_DODGE	Esély a nyilak elkerülésére %d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK	Sötétség ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_DARK2	Sötétség ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_EARTH	Föld ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_EARTH2	Föld ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ELECT	Villám ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ELECT2	Villám ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_FIRE	Tûz ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_FIRE2	Tûz ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_ICE	Jég ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_ICE2	Jég ereje +%d%% - +%d%%
TOOLTIP_APPLY_ENCHANT_WIND	Szél ereje +%d%%	SA
TOOLTIP_APPLY_ENCHANT_WIND2	Szél ereje +%d%% - +%d%%
TOOLTIP_APPLY_EXP_DOUBLE_BONUS	%d%% esély EXP bónuszra	SA
TOOLTIP_APPLY_GOLD_DOUBLE_BONUS	%d%% esély dupla mennyiségû Yang eldobására	SA
TOOLTIP_APPLY_IMMUNE_BLEEDING100	Immunis a vérzés ellen	SNA
TOOLTIP_APPLY_IMMUNE_FALL	Immunis a leesésre	SNA
TOOLTIP_APPLY_IMMUNE_POISON100	Immunis a mérgezés ellen	SNA
TOOLTIP_APPLY_IMMUNE_SLOW	Immunis a lelassulás ellen.	SNA
TOOLTIP_APPLY_IMMUNE_STUN	Védelem az ájulás ellen	SNA
TOOLTIP_APPLY_ITEM_DROP_BONUS	%d%% esély, dupla mennyiségû tárgy eldobására	SA
TOOLTIP_APPLY_KILL_HP_RECOVER	%d%% esély, TP visszaállítására	SA
TOOLTIP_APPLY_KILL_SP_RECOVER	%d%% esély, MP visszaállítására	SA
TOOLTIP_APPLY_MANA_BURN_PCT	%d%% esély Mp rablásra	SA
TOOLTIP_APPLY_MAX_HP_PCT	Max. TP +%d%%	SA
TOOLTIP_APPLY_MAX_SP_PCT	Max. MP +%d%%	SA
TOOLTIP_APPLY_MONSTER_DEFEND_BONUS	Ellenállás a szörnyek támadásainak %d	SA
TOOLTIP_APPLY_NOAFFECT	Nincs hatás
TOOLTIP_APPLY_NO_DEATH_PENALTY	Nem vész el tapasztalat pont ha a karakter újjáéled a holttesténél.	SNA
TOOLTIP_APPLY_NO_DEATH_PENALTY_PLUS	A Sárkányisten védelmezõ szárnyai alá vett. Ha ott éledsz újra, ahol meghaltál, nem veszítesz tapasztalati pontot.	SNA
TOOLTIP_APPLY_PENETRATE_PCT	%d%% esély átható találatra	SA
TOOLTIP_APPLY_POISON_PCT	Mérgezés esélye %d%%	SA
TOOLTIP_APPLY_POISON_REDUCE	Méreg ellenállás %d%%	SA
TOOLTIP_APPLY_POTION_BONUS	Ital %d%% hatásnövekedés	SA
TOOLTIP_APPLY_REFLECT_CURSE	%d%% esély, az átok visszaverésére	SA
TOOLTIP_APPLY_REFLECT_MELEE	%d%% esély a közelharci támadás visszaverésére	SA
TOOLTIP_APPLY_REFUSE_EXP	Nem szerzel tapasztalatot	SNA
TOOLTIP_APPLY_RESIST_ASSASSIN	Védelmi esély nindzsatámadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_BELL	Harang védelem %d%%	SA
TOOLTIP_APPLY_RESIST_CLAW	Karom védelem +%d%%	SA
TOOLTIP_APPLY_RESIST_DAGGER	Tõr védekezés %d%%	SA
TOOLTIP_APPLY_RESIST_FAN	Legyezõ védekezés %d%%	SA
TOOLTIP_APPLY_RESIST_HUMAN	Félemberek elleni védelem %d%%	SA
TOOLTIP_APPLY_RESIST_MOUNT_FALL	Esés ellenállás +%d%%	SA
TOOLTIP_APPLY_RESIST_SHAMAN	Védekezési esély sámántámadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_SURA	Védekezési esély Sura támadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_SWORD	Kard védelem %d%%	SA
TOOLTIP_APPLY_RESIST_TWOHAND	Kétkezes védelem %d%%	SA
TOOLTIP_APPLY_RESIST_WARRIOR	Védekezési esély harcos támadás ellen %d%%	SA
TOOLTIP_APPLY_RESIST_WIND	Szél ellenállás %d%%	SA
TOOLTIP_APPLY_RESIST_WOLFMAN	Védekezési esély vérfarkas-támadás ellen %d%%	SA
TOOLTIP_APPLY_SKILL_BOOK_BONUS	Könyvbõl tanulás esélyének növelése 2,5-szeresére	SNA
TOOLTIP_APPLY_SKILL_BOOK_NO_DELAY	Ha sikertelen a tanulás, azonnal újra próbálhatod szabadon.	SNA
TOOLTIP_APPLY_SLOW_PCT	Lassítás esélye %d%%	SA
TOOLTIP_APPLY_STEAL_HP	%d%% veszteség eltûnik a TP-bõl.	SA
TOOLTIP_APPLY_STEAL_SP	%d%% veszteség eltûnik az MP-bõl.	SA
TOOLTIP_APPLY_STUN_PCT	Ájulási esély %d%%	SA
TOOLTIP_ARMOR	Felszerelés
TOOLTIP_ARROW	Nyíl
TOOLTIP_ASSASSIN	Nindzsa
TOOLTIP_ATTBONUS_PER_ANIMAL	Állatok elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_CZ	Zodiákus szörnyek elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_DESERT	Sivatagi szörnyek elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_DEVIL	Ördögök elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_HUMAN	Félemberek elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_INSECT	Rovarok elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_MILGYO	Ezoterikusok elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_MONSTER	Szörnyek elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_ORC	Orkok elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_STONE	Metinkövek elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_PER_UNDEAD	Élõholtak elleni erõ (+ a teljes érték %d%%-a)	SA
TOOLTIP_ATTBONUS_STONE	+%d%% Metinkövek elleni erõ	SA
TOOLTIP_ATT_GRADE	Támadó érték +%d	SA
TOOLTIP_ATT_SPEED	Támadósebesség +%d%%	SA
TOOLTIP_ATT_SPEED_SLOW	Csökkentett támadósebesség	SNA
TOOLTIP_AUTO_DAMAGE_POTION_REST	Hátralevõ idõ: %d
TOOLTIP_AUTO_PICKUP	30 másodpercen keresztül %d%% esélyed van a közeli tárgyak automatikus begyûjtésére	SA
TOOLTIP_AUTO_POTION_HP	Nap Elixír
TOOLTIP_AUTO_POTION_REST	Maradék: %.2f%%
TOOLTIP_AUTO_POTION_SP	Hold Elixír
TOOLTIP_AUTO_POTION_USING	Aktív
TOOLTIP_AUTO_SYSTEM_PRIMIUM	Auto-vadászat	SNA
TOOLTIP_BATTLE_POTION	Harci övezeti harci ital	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_INFINITE_STAMINA	Végtelen kitartás	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_MOVE_SPEED	Mozgási sebesség megnövelve	SNA
TOOLTIP_BATTLE_ROYALE_AFFECT_SLOW	Mozgási sebesség csökkentve	SNA
TOOLTIP_BOW_DISTANCE	Hatótáv +%dm	SA
TOOLTIP_BUYPRICE	Ár: %s
TOOLTIP_CAST_SPEED	Varázssebesség +%d%%	SA
TOOLTIP_CON	Életerõ +%d	SA
TOOLTIP_CONFUSION_IMMUNE	Immunis az összezavarásra
TOOLTIP_COSTUME_ATTR_BONUS	Jelmez bónusz %d%%	SA
