ACCEPT	OK
SNOWFLAKE_STICK_EVENT_TOOLTIP_SNOW_BALL	Puoi ottenere delle palle di neve sconfiggendo dei mostri quando l'Incantesimo Fiocco di neve è attivo.
SNOWFLAKE_STICK_EVENT_TOOLTIP_TITLE_SNOW_BALL	Palla di neve
SNOWFLAKE_STICK_EVENT_TOOLTIP_TITLE_TREE_BRANCH	Ramo Pupazzo di neve
SNOWFLAKE_STICK_EVENT_TOOLTIP_TREE_BRANCH	Puoi ottenere dei Rami Pupazzo di neve sconfiggendo dei mostri quando l'Incantesimo Fiocco di neve è attivo.
STEP	Grado di chiarezza
STEP_SELECT	Grado di purezza
STRENGTH	Rinforza
STRENGTH_SELECT	Livello
STRUCTURE_VIEW_MODE	Decorazione
STRUCTURE_VIEW_TYPE_STRUCTURE	Nascondi decorazioni
SUNGHAHEE_TOWER_CLEAR	Ce l'hai fatta!
SUNGMAHEE_GATE_ACHIEV_COUNT	Quantità trofei
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_GET_REWARD	Ricompensa ricevuta
SUNGMAHEE_GATE_ACHIEV_TOOLTIP_REWARD_LIST	Elenco delle ricompense
SUNGMAHEE_GATE_TITLE	Portale Invasione SungMa
SUNGMAHEE_GATE_TITLE_ACHIEV	Trofei
SUNGMAHEE_GATE_TITLE_REWARD	Ricompensa trofei
SUNGMAHEE_TOWER_DUNGEON_ENTER_QUESTION	Vuoi accedere al livello %d?
SUNGMAHEE_TOWER_DUNGEON_EXIT_QUESTION	Vuoi annullare la sfida?
SUNGMAHEE_TOWER_ELEMENT_ALL	Tutti
SUNGMAHEE_TOWER_ELEMENT_DARK	Oscurità
SUNGMAHEE_TOWER_ELEMENT_EARTH	Terra
SUNGMAHEE_TOWER_ELEMENT_ELEC	Lampo
SUNGMAHEE_TOWER_ELEMENT_FIRE	Fuoco
SUNGMAHEE_TOWER_ELEMENT_ICE	Ghiaccio
SUNGMAHEE_TOWER_ELEMENT_TITLE	Elementi del livello
SUNGMAHEE_TOWER_ELEMENT_WIND	Vento
SUNGMAHEE_TOWER_ENTER_BUTTON	Entra
SUNGMAHEE_TOWER_ENTER_TITLE	Inferna Sung Mahi
SUNGMAHEE_TOWER_EXIT_BUTTON	Esci
SUNGMAHEE_TOWER_INFO_BOARD_FLOOR	Liv. %d
SUNGMAHEE_TOWER_MISSION_TYPE_ALL_KILL_MOB_PAUSE_SPECIAL	Sconfiggi i mostri e le pietre demoniache!
SUNGMAHEE_TOWER_MISSION_TYPE_BOSS	Sconfiggi tutti i mostri!
SUNGMAHEE_TOWER_MISSION_TYPE_CHESS_FAIL	Sconfiggi tutti i mostri!
SUNGMAHEE_TOWER_MISSION_TYPE_COMPLETE	Missione completata
SUNGMAHEE_TOWER_MISSION_TYPE_CORRECT_ITEM_USE	Trova la chiave e scappa!
SUNGMAHEE_TOWER_MISSION_TYPE_DEBUFF_RELEASE	Sconfiggi tutti i mostri!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE	Distruggi la Roccia Metin maledetta!
SUNGMAHEE_TOWER_MISSION_TYPE_FINDING_RIGHT_MATCH_METIN_STONE_FAIL	Sconfiggi tutti i mostri!
SUNGMAHEE_TOWER_MISSION_TYPE_MONSTER_CHESS	Sconfiggi una coppia di mostri che non dovrebbero stare insieme!
SUNGMAHEE_TOWER_MISSION_TYPE_NORMAL	Sconfiggi tutti i mostri!
SUNGMAHEE_TOWER_MISSION_TYPE_SEAL_RELEASE	Spezza il sigillo con la Pietra Sigillo!
SUNGMAHEE_TOWER_MISSION_TYPE_STAIRS	Datti da fare per raggiungere il prossimo livello!
SUNGMAHEE_TOWER_MISSION_TYPE_SURVIVE	Schiva tutti gli attacchi!
SUNGMAHEE_TOWER_MY_RANK_TITLE	Rango
SUNGMAHEE_TOWER_REWARD_INFO_TITLE	Ricompense
SYSTEMOPTION_TITLE	Opzioni di sistema
SYSTEM_CANNOT_CONTROL_AND_ESCAPTE	Libera
SYSTEM_CHANGE	Cambia personaggio
SYSTEM_EXIT	Termina gioco
SYSTEM_HELP	Aiuto
SYSTEM_LOGOUT	Sconnetti
SYSTEM_MALL	Item Shop
SYSTEM_MOVE_CHANNEL	Cambia canale
SYSTEM_OPTION	Opzioni di sistema
TASKBAR_CHARACTER	Personaggio
TASKBAR_CHAT	Finestra di Chat [Invio]
TASKBAR_COMMUNITY	Community
TASKBAR_DISABLE	Disattiva
TASKBAR_DRAGON_SOUL	Alchimia delle Pietre del drago
TASKBAR_EXPAND	Ingrandisci la finestra
TASKBAR_INVENTORY	Inventario
TASKBAR_MESSENGER	Amici [Alt+M]
TASKBAR_MONEY_EXPAND	Capitale
TASKBAR_NEXT_QUICKSLOT	Prossimo campo di utilizzo veloce [MAIUSC + Numero, Alt]
TASKBAR_PET_INFO	Informazioni sul pet
TASKBAR_PREV_QUICKSLOT	Precedente slot rapido
TASKBAR_SYSTEM	Opzioni[ESC]
TITLE_SYSTEM_UI_BUTTON_APPLY	Usa titolo
TITLE_SYSTEM_UI_BUTTON_CLEAR	Togli
TITLE_SYSTEM_UI_CURRENT_TITLE	Titolo in uso
TITLE_SYSTEM_UI_TITLE_LIST	Tutti i titoli
TITLE_SYSTEM_UI_WINDOW_NAME	Titolo
TOTAL_RANKING	Classifica complessiva
TREASURE_HUNT_EVENT_ACCUMULATE_COUNT	Round
TREASURE_HUNT_EVENT_GOLD	Dubloni ottenuti
TREASURE_HUNT_EVENT_RANKING_COUNT	Round
TREASURE_HUNT_EVENT_RANKING_NAME	Nome
TREASURE_HUNT_EVENT_RANKING_RANK	Rango
TREASURE_HUNT_EVENT_RANKING_TITLE	Classifica Caccia al tesoro
TREASURE_HUNT_EVENT_REWARD_LIST	Ricompense
TREASURE_HUNT_EVENT_REWARD_LIST_ACCUMULATE_COUNT	Round
TREASURE_HUNT_EVENT_REWARD_LIST_TITLE	Ricompense del round
TREASURE_HUNT_EVENT_TITLE	Caccia al tesoro
USER_REPORT_SYSTEM_UI_CHARACTER_NAME	Nome del personaggio
USER_REPORT_SYSTEM_UI_CLOSE_BUTTON	Chiudi
USER_REPORT_SYSTEM_UI_SELECT_REASON	Motivo della segnalazione
USER_REPORT_SYSTEM_UI_SEND_BUTTON	Invia
USER_REPORT_SYSTEM_UI_TARGET_CHECK	Personaggio interessato
USER_REPORT_SYSTEM_UI_WINDOW_NAME	Segnala
VALENTINE_DAY_EVENT_CURRENT_COUNT	Quantità disponibile
VALENTINE_DAY_EVENT_MAX_COUNT	Quantità max.
VALENTINE_DAY_EVENT_TITLE	Panoramica Evento San Valentino
VALENTINE_DAY_EVENT_USE_BUTTON	Usa
VALENTINE_DAY_EVENT_WRAP_BUTTON	Confezionamento
WARP_MI_LABEL	Santuario da attaccare
WEEKLY_RANKING	Classifica settimanale
WHISPER_BAN	Blocca
WHISPER_NAME	Sussurra
WHISPER_REPORT	
WHISPER_SEND	Invia
WORLD_BOSS_BREAK_TIME_TEXT	Tempo di ricarica
WORLD_BOSS_MIN_DAMAGE_TEXT	EXP danno minimo
WORLD_BOSS_RANK	Classifica Ultraboss
WORLD_BOSS_RANKING_BUTTON	Classifica
WORLD_BOSS_RANK_EMPIRE	Regno
WORLD_BOSS_RANK_GUILD_NAME	Gilda
WORLD_BOSS_RANK_NAME	Nome
WORLD_BOSS_RANK_RANK	Rango
WORLD_BOSS_RANK_TIER	Livello bottino
WORLD_BOSS_RUN_TIME_TEXT	Durata battaglia
WORLD_BOSS_TITLE	Ultraboss sconfitto
WORLD_BOSS_TOTAL_DAMAGE_TEXT	Danno complessivo
WORLD_BUSS_REWARD_BUTTON	Ritira ricompensa
YES	Sì.
ZONE_MAP	Mappa grande
